heuristica,n,m,replicacao,tempo,iteracoes,valor,parametro
Monotona - Primeira Melhora,31,10,1,0.0181ms,56,149,NA
Monotona - Primeira Melhora,31,10,2,0.0183ms,66,88,NA
Monotona - Primeira Melhora,31,10,3,0.0144ms,53,132,NA
Monotona - Primeira Melhora,31,10,4,0.0176ms,64,177,NA
Monotona - Primeira Melhora,31,10,5,0.0147ms,52,136,NA
Monotona - Primeira Melhora,31,10,6,0.016ms,60,166,NA
Monotona - Primeira Melhora,31,10,7,0.0165ms,61,138,NA
Monotona - Primeira Melhora,31,10,8,0.0145ms,53,137,NA
Monotona - Primeira Melhora,31,10,9,0.014ms,51,57,NA
Monotona - Primeira Melhora,31,10,10,0.0148ms,56,135,NA
Monotona - Primeira Melhora,100,10,1,0.061ms,199,446,NA
Monotona - Primeira Melhora,100,10,2,0.0446ms,189,444,NA
Monotona - Primeira Melhora,100,10,3,0.0454ms,195,456,NA
Monotona - Primeira Melhora,100,10,4,0.0452ms,195,502,NA
Monotona - Primeira Melhora,100,10,5,0.0468ms,193,449,NA
Monotona - Primeira Melhora,100,10,6,0.0467ms,201,405,NA
Monotona - Primeira Melhora,100,10,7,0.0474ms,205,481,NA
Monotona - Primeira Melhora,100,10,8,0.0496ms,214,448,NA
Monotona - Primeira Melhora,100,10,9,0.0462ms,200,467,NA
Monotona - Primeira Melhora,100,10,10,0.05ms,213,419,NA
Monotona - Primeira Melhora,89,20,1,0.078ms,240,196,NA
Monotona - Primeira Melhora,89,20,2,0.0714ms,244,178,NA
Monotona - Primeira Melhora,89,20,3,0.0695ms,235,187,NA
Monotona - Primeira Melhora,89,20,4,0.08ms,258,193,NA
Monotona - Primeira Melhora,89,20,5,0.0715ms,240,181,NA
Monotona - Primeira Melhora,89,20,6,0.0675ms,231,190,NA
Monotona - Primeira Melhora,89,20,7,0.0721ms,252,208,NA
Monotona - Primeira Melhora,89,20,8,0.0711ms,245,173,NA
Monotona - Primeira Melhora,89,20,9,0.075ms,252,187,NA
Monotona - Primeira Melhora,89,20,10,0.0747ms,259,163,NA
Monotona - Primeira Melhora,400,20,1,0.3446ms,1096,970,NA
Monotona - Primeira Melhora,400,20,2,0.3043ms,1144,947,NA
Monotona - Primeira Melhora,400,20,3,0.3571ms,1168,998,NA
Monotona - Primeira Melhora,400,20,4,0.3987ms,1170,967,NA
Monotona - Primeira Melhora,400,20,5,0.3086ms,1150,971,NA
Monotona - Primeira Melhora,400,20,6,0.3103ms,1183,927,NA
Monotona - Primeira Melhora,400,20,7,0.3073ms,1180,953,NA
Monotona - Primeira Melhora,400,20,8,0.298ms,1130,1071,NA
Monotona - Primeira Melhora,400,20,9,0.3108ms,1165,1032,NA
Monotona - Primeira Melhora,400,20,10,0.312ms,1173,962,NA
Monotona - Primeira Melhora,353,50,1,0.6056ms,1498,334,NA
Monotona - Primeira Melhora,353,50,2,0.5664ms,1472,319,NA
Monotona - Primeira Melhora,353,50,3,0.5739ms,1486,289,NA
Monotona - Primeira Melhora,353,50,4,0.5936ms,1534,350,NA
Monotona - Primeira Melhora,353,50,5,0.5723ms,1479,328,NA
Monotona - Primeira Melhora,353,50,6,0.5797ms,1503,294,NA
Monotona - Primeira Melhora,353,50,7,0.5754ms,1497,291,NA
Monotona - Primeira Melhora,353,50,8,0.5685ms,1474,330,NA
Monotona - Primeira Melhora,353,50,9,0.5623ms,1438,331,NA
Monotona - Primeira Melhora,353,50,10,0.5703ms,1481,335,NA
Monotona - Primeira Melhora,2500,50,1,4.5075ms,10574,2473,NA
Monotona - Primeira Melhora,2500,50,2,3.974ms,10711,2548,NA
Monotona - Primeira Melhora,2500,50,3,3.9635ms,10621,2475,NA
Monotona - Primeira Melhora,2500,50,4,3.9969ms,10773,2488,NA
Monotona - Primeira Melhora,2500,50,5,3.9643ms,10577,2444,NA
Monotona - Primeira Melhora,2500,50,6,3.9624ms,10753,2423,NA
Monotona - Primeira Melhora,2500,50,7,3.8717ms,10447,2582,NA
Monotona - Primeira Melhora,2500,50,8,3.9787ms,10761,2467,NA
Monotona - Primeira Melhora,2500,50,9,3.9448ms,10598,2476,NA
Monotona - Primeira Melhora,2500,50,10,3.9695ms,10692,2428,NA
